company_name,total_promoter_holding_pct,promoter_shares_encumbered,promoter_shares_encumbered_pct
Gillanders Arbuthnot & Company Limited,    69.08,0,     0.00
Gillette India Limited,    75.00,0,     0.00
Ginni Filaments Limited,    69.72,10408300,    17.43
Gitanjali Gems Limited,    27.76,25866102,    78.56
GlaxoSmithKline Pharmaceuticals Limited,    75.00,0,     0.00
Glenmark Life Sciences Limited,    82.85,9609571,     9.47
Glenmark Pharmaceuticals Limited,    46.64,0,     0.00
Global Vectra Helicorp Limited,    75.00,0,     0.00
Globe Textiles (India) Limited,    42.11,0,     0.00
Globus Spirits Limited,    50.98,0,     0.00
Gmr Power And Urban Infra Limited,    59.83,271250000,    75.11
Go Fashion (India) Limited,    52.79,4656200,    16.33
Goa Carbon Limited,    59.72,0,     0.00
Godawari Power And Ispat limited,    63.26,0,     0.00
Godfrey Phillips India Limited,    72.99,0,     0.00
Godha Cabcon & Insulation Limited,     7.97,0,     0.00
Godrej Consumer Products Limited,    63.21,4263670,     0.66
Godrej Industries Limited,    67.16,12708622,     5.62
Godrej Properties Limited,    58.48,0,     0.00
Goenka Diamond and Jewels Limited,    57.55,0,     0.00
Gokaldas Exports Limited,    10.58,0,     0.00
Gokul Agro Resources Limited,    73.62,15000000,    13.81
Gokul Refoils and Solvent Limited,    73.01,,
Golden Tobacco Limited,    30.04,0,     0.00
Goldiam International Limited,    64.26,0,     0.00
Granules India Limited,    41.96,4100000,     4.03
Graphite India Limited,    65.34,0,     0.00
Grasim Industries Limited,    43.37,0,     0.00
Gravita India Limited,    67.93,0,     0.00
Greaves Cotton Limited,    56.00,0,     0.00
Greenply Industries Limited,    52.00,0,     0.00
Grindwell Norton Limited,    58.03,0,     0.00
Gufic Biosciences Limited,    72.51,0,     0.00
Gujarat Alkalies and Chemicals Limited,    46.28,0,     0.00
Gujarat Ambuja Exports Limited,    63.84,0,     0.00
Gujarat Apollo Industries Limited,    54.79,0,     0.00
Gujarat Fluorochemicals Limited,    63.81,3500600,     4.99
Gujarat Industries Power Company Limited,    55.43,0,     0.00
Gujarat Lease Financing Limited,    45.67,0,     0.00
Gujarat Mineral Development Corporation Limited,    74.00,0,     0.00
Gujarat Narmada Valley Fertilizers and Chemicals Limited,    41.30,0,     0.00
Gujarat Pipavav Port Limited,    44.01,0,     0.00
Gujarat Raffia Industries Limited,    39.64,0,     0.00
Gujarat State Fertilizers & Chemicals Limited,    37.84,0,     0.00
Gujarat State Petronet Limited,    37.63,0,     0.00
Gulf Oil Lubricants India Limited,    71.80,0,     0.00
HBL Power Systems Limited,    59.11,0,     0.00
HCL Infosystems Limited,    62.89,0,     0.00
HCL Technologies Limited,    61.02,0,     0.00
HDFC Bank Limited,    13.54,0,     0.00
HEC Infra Projects Limited,    73.20,0,     0.00
HEG Limited,    55.78,0,     0.00
HFCL Limited,    37.75,241548750,    44.41
HIL Limited,    40.57,0,     0.00
HLV LIMITED,    47.03,105000000,    33.86
HMT Limited,    93.69,0,     0.00
HOV Services Limited,    50.42,0,     0.00
HT Media Limited,    70.13,0,     0.00
Happiest Minds Technologies Limited,    52.16,5483884,     6.90
Harrisons  Malayalam Limited,    54.12,0,     0.00
Hathway Cable & Datacom Limited,    75.00,0,     0.00
Hatsun Agro Product Limited,    73.15,0,     0.00
Havells India Limited,    59.43,0,     0.00
Heads UP Ventures Limited,    13.79,0,     0.00
Healthcare Global Enterprises Limited,    71.28,3067000,     3.09
HeidelbergCement India Limited,    69.39,0,     0.00
Hercules Hoists Limited,    69.61,0,     0.00
Heritage Foods Limited,    41.30,0,     0.00
Hero MotoCorp Limited,    34.76,0,     0.00
Hester Biosciences Limited,    53.73,0,     0.00
Heubach Colorants India Limited,    54.37,0,     0.00
Hexa Tradex Limited,    92.13,0,     0.00
Hi-Tech Pipes Limited,    53.20,2296000,     2.88
Hikal Limited,    68.85,0,     0.00
Hilton Metal Forging Limited,    27.67,0,     0.00
Himadri Speciality Chemical Limited,    50.29,0,     0.00
Himatsingka Seide Limited,    47.57,0,     0.00
Hind Rectifiers Limited,    44.05,0,     0.00
