symbol,market_cap
DCMSRIND,2009.95
DCW,1713.97
DCXINDIA,3956.45
DECCANCE,959.51
DEEM,76.7
DEEPAKFERT,8166.32
DEEPAKNTR,33876.62
DEEPENR,553.6
DEEPINDS,1874.88
DELAPLEX,205.79
DELHIVERY,29567.81
DELPHIFX,245.18
DELTACORP,3942.93
DELTAMAGNT,106.88
DEN,2706.34
DENEERS,169.55
DENORA,867.64
DENTALKART,996.21
DESTINY,52.17
DEVIT,263.07
DEVYANI,20623.04
DGCONTENT,180.03
DHAMPURSUG,1585.65
DHANBANK,1071
DHANI,2903.97
DHANUKA,7229.18
DHARMAJ,893.77
DHRUV,155.71
DHTL,44
DHUNINV,704.22
DIAMINESQ,494.09
DIAMONDYD,2076.99
DICIND,479.14
DIGIDRIVE,146.54
DIGIKORE,259.64
DIGISPICE,845.47
DIGJAMLMTD,16.67
DIL,126.12
DISHTV,2968.1
DIVGIITTS,1994.01
DIVISLAB,118929.92
DIVOPPBEES,55.65
DIXON,67781.2
DJML,394.08
DKEGL,49.55
DLF,213124.62
DLINKINDIA,1563.99
DMART,319770.23
DMCC,780.87
DNAMEDIA,71.68
DODLA,6240.49
DOLATALGO,2498.32
DOLLAR,3215.8
DOLLEX,93.88
DOLPHIN,2996.34
DOMS,11876.49
DONEAR,673.4
DPABHUSHAN,2690.61
DPSCLTD,1811.25
DPWIRES,707.09
DRCSYSTEMS,0
DREAMFOLKS,2545.24
DREDGECORP,3116.68
DRONE,894.36
DRREDDY,99460.69
DRSDILIP,178.34
DSSL,1456.92
DTIL,220.66
DUCOL,203.56
DUCON,199.89
DUGLOBAL,537
DVL,1219.21
DWARKESH,1447.02
DYCL,1326.34
DYNAMATECH,5229.51
DYNAMIC,332.59
DYNPRO,342.81
E2E,2578.65
EASEMYTRIP,7603.83
EBBETF0425,11996.88
EBBETF0430,19006.3
EBBETF0431,13529.33
EBBETF0433,5703.21
ECLERX,11656.27
EDELWEISS,6523.05
EFACTOR,248.67
EFORCE,184.86
EGOLD,48.83
EICHERMOT,133306.12
EIDPARRY,14402
EIFFL,334.8
EIHAHOTELS,2787.23
EIHOTEL,27831.83
EIMCOELECO,1177.33
EKC,1447.48
ELDEHSG,1026.22
ELECON,14619.66
ELECTCAST,9891.85
ELECTHERM,940.87
ELGIEQUIP,22215.32
ELGIRUBCO,378.93
ELIN,903.8
EMAMILTD,31406.18
EMAMIPAP,727.92
EMAMIREAL,418.93
EMBASSY,33934.6
EMIL,9193.57
EMKAY,442.11
EMKAYTOOLS,1067.13
EMMBI,182.19
EMMIL,470.05
EMSLIMITED,3119.17
EMUDHRA,7039.82
ENDURANCE,36600.47
ENERGYDEV,106.07
ENFUSE,107.06
ENGINERSIN,14857.59
ENIL,1068.06
ENSER,142.94
ENTERO,4582.07
EPACK,2236.9
EPIGRAL,5546.95
EPL,6136.26
EQUAL50ADD,228.67
EQUIPPP,273.31
EQUITASBNK,11946.08
ERIS,14122.25
EROSMEDIA,193.36
ESABINDIA,9361.57
ESAFSFB,2895.64
ESCONET,263.21
ESCORTS,46738
ESFL,302.21
ESG,128.26
ESILVER,48.38
ESSARSHPNG,1118.71
ESSEN-RE2,26.12
ESTER,1080.57
ETHOSLTD,6340.43
EUROBOND,474.69
EUROTEXIND,12.15
EVEREADY,2449.56
EVERESTIND,1750.21
EXCEL,73.07
EXCELINDUS,1556.94
EXICOM,4240.94
EXIDEIND,47710.5
EXPLEOSOL,1943.85
EXXARO,416.09
FACT,58560.01
FAIRCHEMOR,1835.3
FAZE3Q,1059.09
FCL,3987.54
FCSSOFT,656.47
FDC,7464.84
FEDERALBNK,43084.41
FEDFINA,4529.67
FEL,35.94
FELDVR,22.92
FELIX,516.38
FIBERWEB,114.59
FIDEL,149.88
FIEMIND,3368.92
FILATEX,2379.07
FILATFASH,1650.15
FINCABLES,23858.54
FINEORG,14465.99
FINIETF,84.67
FINOPB,2846.35
FINPIPE,20444.71
FIVESTAR,23835.57
FLAIR,3122.87
FLEXITUFF,95.18
FLFL,54.08
FLUOROCHEM,35650.72
FMCGIETF,250.22
FMGOETZE,2475.63
FMNL,39.82
FOCE,501.52
FOCUS,1010.78
FONEBOX,146.72
FOODSIN,868.13
FORCEMOT,11661.85
FORTIS,36932.55
FOSECOIND,2612.16
FROG,492.94
FSC,17.11
FSL,13835.27
FUSION,4717.82
GABRIEL,6051.72
GAEL,6471.84
GAIL,142482.41
GALAXYSURF,9395.51
GALLANTT,8405.02
GANDHAR,2119.27
GANDHITUBE,1027.03
GANECOS,3193.72
GANESHBE,1117.28
GANESHHOUC,8272
GANGAFORGE,108.82
GANGESSECU,161.06
GARFIBRES,8083.71
GATECH,47.31
GATECHDVR,18.03
GATEWAY,5190.8
GAYAHWS,33.07
GEECEE,768.72
GEEKAYWIRE,467.73
GENCON,275.74
GENESYS,2255.61
GENSOL,3876.86
GENUSPAPER,547.68
